BARCODE,Name,Number,GROUP,SAMPLE
MID2,"Bacteria ""Proteobacteria"" Betaproteobacteria Burkholderiales Burkholderiales_incertae_sedis Inhella",1,NEC 1,tissue
MID2,"Bacteria ""Proteobacteria"" Betaproteobacteria Burkholderiales Burkholderiales_incertae_sedis Mitsuaria",2,NEC 1,tissue
MID2,"Bacteria ""Proteobacteria"" Betaproteobacteria Burkholderiales Burkholderiales_incertae_sedis Rhizobacter",1,NEC 1,tissue
MID2,"Bacteria ""Proteobacteria"" Betaproteobacteria Burkholderiales Comamonadaceae Caenimonas",1,NEC 1,tissue
MID2,"Bacteria ""Proteobacteria"" Betaproteobacteria Burkholderiales Comamonadaceae Comamonas",3,NEC 1,tissue
MID2,"Bacteria ""Proteobacteria"" Betaproteobacteria Burkholderiales Comamonadaceae Macromonas",1,NEC 1,tissue
MID2,"Bacteria ""Proteobacteria"" Betaproteobacteria Burkholderiales Comamonadaceae Malikia",1,NEC 1,tissue
MID2,"Bacteria ""Proteobacteria"" Betaproteobacteria Burkholderiales Comamonadaceae Ottowia",1,NEC 1,tissue
MID2,"Bacteria ""Proteobacteria"" Betaproteobacteria Burkholderiales Comamonadaceae Pelomonas",4,NEC 1,tissue
MID2,"Bacteria ""Proteobacteria"" Betaproteobacteria Burkholderiales Oxalobacteraceae Duganella",2,NEC 1,tissue
MID2,"Bacteria ""Proteobacteria"" Betaproteobacteria Hydrogenophilales Hydrogenophilaceae Hydrogenophilus",7,NEC 1,tissue
MID2,"Bacteria ""Proteobacteria"" Betaproteobacteria Methylophilales Methylophilaceae Methylotenera",1,NEC 1,tissue
MID2,"Bacteria ""Proteobacteria"" Betaproteobacteria Neisseriales Neisseriaceae Bergeriella",2,NEC 1,tissue
MID2,"Bacteria ""Proteobacteria"" Betaproteobacteria Neisseriales Neisseriaceae Gulbenkiania",2,NEC 1,tissue
MID2,"Bacteria ""Proteobacteria"" Betaproteobacteria Neisseriales Neisseriaceae Kingella",1,NEC 1,tissue
MID2,"Bacteria ""Proteobacteria"" Betaproteobacteria Neisseriales Neisseriaceae Neisseria",5,NEC 1,tissue
MID2,"Bacteria ""Proteobacteria"" Betaproteobacteria Neisseriales Neisseriaceae Paludibacterium",1,NEC 1,tissue
MID2,"Bacteria ""Proteobacteria"" Betaproteobacteria Neisseriales Neisseriaceae Pseudogulbenkiania",1,NEC 1,tissue
MID2,"Bacteria ""Proteobacteria"" Betaproteobacteria Neisseriales Neisseriaceae Silvimonas",1,NEC 1,tissue
MID2,"Bacteria ""Proteobacteria"" Betaproteobacteria Neisseriales Neisseriaceae Simonsiella",2,NEC 1,tissue
MID2,"Bacteria ""Proteobacteria"" Betaproteobacteria Neisseriales Neisseriaceae Vitreoscilla",5,NEC 1,tissue
MID2,"Bacteria ""Proteobacteria"" Betaproteobacteria Rhodocyclales Rhodocyclaceae Azovibrio",9,NEC 1,tissue
MID2,"Bacteria ""Proteobacteria"" Betaproteobacteria Rhodocyclales Rhodocyclaceae Sterolibacterium",1,NEC 1,tissue
MID2,"Bacteria ""Proteobacteria"" Betaproteobacteria Rhodocyclales Rhodocyclaceae Uliginosibacterium",2,NEC 1,tissue
MID2,"Bacteria ""Proteobacteria"" Deltaproteobacteria Desulfobacterales Desulfobacteraceae Desulfatiferula",1,NEC 1,tissue
MID2,"Bacteria ""Proteobacteria"" Deltaproteobacteria Desulfobacterales Desulfobacteraceae Desulforegula",1,NEC 1,tissue
MID2,"Bacteria ""Proteobacteria"" Deltaproteobacteria Desulfovibrionales Desulfovibrionaceae Bilophila",40,NEC 1,tissue
MID2,"Bacteria ""Proteobacteria"" Deltaproteobacteria Desulfovibrionales Desulfovibrionaceae Lawsonia",3,NEC 1,tissue
MID2,"Bacteria ""Proteobacteria"" Deltaproteobacteria Myxococcales Cystobacteraceae Anaeromyxobacter",1,NEC 1,tissue
MID2,"Bacteria ""Proteobacteria"" Deltaproteobacteria Myxococcales Myxococcaceae Pyxidicoccus",1,NEC 1,tissue
MID2,"Bacteria ""Proteobacteria"" Deltaproteobacteria Myxococcales Nannocystaceae Enhygromyxa",1,NEC 1,tissue
MID2,"Bacteria ""Proteobacteria"" Deltaproteobacteria Myxococcales Phaselicystidaceae Phaselicystis",1,NEC 1,tissue
MID2,"Bacteria ""Proteobacteria"" Deltaproteobacteria Myxococcales Polyangiaceae Byssovorax",2,NEC 1,tissue
MID2,"Bacteria ""Proteobacteria"" Deltaproteobacteria Myxococcales Polyangiaceae Chondromyces",3,NEC 1,tissue
MID2,"Bacteria ""Proteobacteria"" Deltaproteobacteria Myxococcales Polyangiaceae Sorangium",1,NEC 1,tissue
MID2,"Bacteria ""Proteobacteria"" Epsilonproteobacteria Campylobacterales Campylobacteraceae Arcobacter",3,NEC 1,tissue
MID2,"Bacteria ""Proteobacteria"" Gammaproteobacteria ""Enterobacteriales"" Enterobacteriaceae Arsenophonus",59,NEC 1,tissue
MID2,"Bacteria ""Proteobacteria"" Gammaproteobacteria ""Enterobacteriales"" Enterobacteriaceae Escherichia/Shigella",1,NEC 1,tissue
MID2,"Bacteria ""Proteobacteria"" Gammaproteobacteria ""Enterobacteriales"" Enterobacteriaceae Hafnia",2,NEC 1,tissue
MID2,"Bacteria ""Proteobacteria"" Gammaproteobacteria ""Enterobacteriales"" Enterobacteriaceae Klebsiella",1,NEC 1,tissue
MID2,"Bacteria ""Proteobacteria"" Gammaproteobacteria ""Enterobacteriales"" Enterobacteriaceae Obesumbacterium",3,NEC 1,tissue
MID2,"Bacteria ""Proteobacteria"" Gammaproteobacteria ""Enterobacteriales"" Enterobacteriaceae Plesiomonas",20,NEC 1,tissue
MID2,"Bacteria ""Proteobacteria"" Gammaproteobacteria ""Enterobacteriales"" Enterobacteriaceae Pragia",16,NEC 1,tissue
MID2,"Bacteria ""Proteobacteria"" Gammaproteobacteria ""Enterobacteriales"" Enterobacteriaceae Proteus",1006,NEC 1,tissue
MID2,"Bacteria ""Proteobacteria"" Gammaproteobacteria ""Enterobacteriales"" Enterobacteriaceae Tatumella",48,NEC 1,tissue
MID2,"Bacteria ""Proteobacteria"" Gammaproteobacteria Alteromonadales Alteromonadaceae Salinimonas",3,NEC 1,tissue
MID2,"Bacteria ""Proteobacteria"" Gammaproteobacteria Chromatiales Chromatiaceae Thioflavicoccus",1,NEC 1,tissue
MID2,"Bacteria ""Proteobacteria"" Gammaproteobacteria Methylococcales Methylococcaceae Methylosoma",3,NEC 1,tissue
MID2,"Bacteria ""Proteobacteria"" Gammaproteobacteria Oceanospirillales Hahellaceae Zooshikella",1,NEC 1,tissue
MID2,"Bacteria ""Proteobacteria"" Gammaproteobacteria Oceanospirillales Halomonadaceae Carnimonas",2,NEC 1,tissue
MID2,"Bacteria ""Proteobacteria"" Gammaproteobacteria Oceanospirillales Halomonadaceae Modicisalibacter",3,NEC 1,tissue
MID2,"Bacteria ""Proteobacteria"" Gammaproteobacteria Oceanospirillales Litoricolaceae Litoricola",3,NEC 1,tissue
MID2,"Bacteria ""Proteobacteria"" Gammaproteobacteria Oceanospirillales Oceanospirillaceae Neptuniibacter",1,NEC 1,tissue
MID2,"Bacteria ""Proteobacteria"" Gammaproteobacteria Oceanospirillales Oceanospirillales_incertae_sedis Spongiispira",1,NEC 1,tissue
MID2,"Bacteria ""Proteobacteria"" Gammaproteobacteria Oceanospirillales Oleiphilaceae Oleiphilus",3,NEC 1,tissue
MID2,"Bacteria ""Proteobacteria"" Gammaproteobacteria Pseudomonadales Moraxellaceae Alkanindiges",1,NEC 1,tissue
MID2,"Bacteria ""Proteobacteria"" Gammaproteobacteria Pseudomonadales Pseudomonadaceae Azomonas",9,NEC 1,tissue
MID2,"Bacteria ""Proteobacteria"" Gammaproteobacteria Pseudomonadales Pseudomonadaceae Azorhizophilus",10,NEC 1,tissue
MID2,"Bacteria ""Proteobacteria"" Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas",40,NEC 1,tissue
MID2,"Bacteria ""Proteobacteria"" Gammaproteobacteria Thiotrichales Piscirickettsiaceae Hydrogenovibrio",9,NEC 1,tissue
MID2,"Bacteria ""Proteobacteria"" Gammaproteobacteria Thiotrichales Piscirickettsiaceae Sulfurivirga",1,NEC 1,tissue
MID2,"Bacteria ""Proteobacteria"" Gammaproteobacteria Thiotrichales Thiotrichaceae Beggiatoa",1,NEC 1,tissue
MID2,"Bacteria ""Proteobacteria"" Gammaproteobacteria Thiotrichales Thiotrichales_incertae_sedis Fangia",2,NEC 1,tissue
MID2,"Bacteria ""Proteobacteria"" Gammaproteobacteria Xanthomonadales Xanthomonadaceae Frateuria",3,NEC 1,tissue
MID2,"Bacteria ""Synergistetes"" Synergistia Synergistales Synergistaceae Aminiphilus",2,NEC 1,tissue
MID2,"Bacteria ""Synergistetes"" Synergistia Synergistales Synergistaceae Aminomonas",2,NEC 1,tissue
MID2,"Bacteria ""Tenericutes"" Mollicutes Haloplasmatales Haloplasmataceae Haloplasma",15,NEC 1,tissue
MID2,"Bacteria ""Thermodesulfobacteria"" Thermodesulfobacteria Thermodesulfobacteriales Thermodesulfobacteriaceae Caldimicrobium",1,NEC 1,tissue
MID2,"Bacteria ""Thermodesulfobacteria"" Thermodesulfobacteria Thermodesulfobacteriales Thermodesulfobacteriaceae Thermodesulfatator",3,NEC 1,tissue
MID2,"Bacteria ""Thermotogae"" Thermotogae Thermotogales Thermotogaceae Geotoga",15,NEC 1,tissue
MID2,"Bacteria ""Thermotogae"" Thermotogae Thermotogales Thermotogaceae Kosmotoga",22,NEC 1,tissue
MID2,Bacteria Cyanobacteria Cyanobacteria  Chloroplast Chlorarachniophyceae,1,NEC 1,tissue
MID2,Bacteria Cyanobacteria Cyanobacteria  Chloroplast Streptophyta,2,NEC 1,tissue
MID2,Bacteria TM7    TM7_genera_incertae_sedis,2,NEC 1,tissue
MID3,"Archaea ""Crenarchaeota"" Thermoprotei Acidilobales Acidilobaceae Acidilobus",1,Control 1,tissue
MID3,"Archaea ""Crenarchaeota"" Thermoprotei Acidilobales Caldisphaeraceae Caldisphaera",15,Control 1,tissue
MID3,"Archaea ""Crenarchaeota"" Thermoprotei Desulfurococcales Desulfurococcaceae Ignisphaera",14,Control 1,tissue
MID3,"Archaea ""Crenarchaeota"" Thermoprotei Desulfurococcales Desulfurococcaceae Sulfophobococcus",4,Control 1,tissue
MID3,"Archaea ""Crenarchaeota"" Thermoprotei Desulfurococcales Desulfurococcaceae Thermodiscus",1,Control 1,tissue
MID3,"Archaea ""Crenarchaeota"" Thermoprotei Desulfurococcales Desulfurococcaceae Thermosphaera",1,Control 1,tissue
MID3,"Archaea ""Crenarchaeota"" Thermoprotei Desulfurococcales Pyrodictiaceae Pyrodictium",3,Control 1,tissue
MID3,"Archaea ""Crenarchaeota"" Thermoprotei Sulfolobales Sulfolobaceae Stygiolobus",4,Control 1,tissue
MID3,"Archaea ""Crenarchaeota"" Thermoprotei Sulfolobales Sulfolobaceae Sulfurisphaera",2,Control 1,tissue
MID3,"Archaea ""Crenarchaeota"" Thermoprotei Thermoproteales Thermofilaceae Thermofilum",5,Control 1,tissue
MID3,"Archaea ""Crenarchaeota"" Thermoprotei Thermoproteales Thermoproteaceae Caldivirga",3,Control 1,tissue
MID3,"Archaea ""Crenarchaeota"" Thermoprotei Thermoproteales Thermoproteaceae Thermocladium",1,Control 1,tissue
MID3,"Archaea ""Euryarchaeota"" ""Methanomicrobia"" Methanocellales Methanocellaceae Methanocella",7,Control 1,tissue
MID3,"Archaea ""Euryarchaeota"" ""Methanomicrobia"" Methanomicrobiales Methanomicrobiaceae Methanomicrobium",4,Control 1,tissue
MID3,"Archaea ""Euryarchaeota"" ""Methanomicrobia"" Methanomicrobiales Methanomicrobiaceae Methanosphaerula",1,Control 1,tissue
MID3,"Archaea ""Euryarchaeota"" ""Methanomicrobia"" Methanosarcinales Methanosarcinaceae Methanimicrococcus",2,Control 1,tissue
MID3,"Archaea ""Euryarchaeota"" ""Methanomicrobia"" Methanosarcinales Methanosarcinaceae Methanosalsum",1,Control 1,tissue
MID3,"Archaea ""Euryarchaeota"" ""Methanomicrobia"" Methanosarcinales Methermicoccaceae Methermicoccus",1,Control 1,tissue
MID3,"Archaea ""Euryarchaeota"" Halobacteria Halobacteriales Halobacteriaceae Haladaptatus",3,Control 1,tissue
MID3,"Archaea ""Euryarchaeota"" Halobacteria Halobacteriales Halobacteriaceae Halogeometricum",1,Control 1,tissue
MID3,"Archaea ""Euryarchaeota"" Halobacteria Halobacteriales Halobacteriaceae Haloplanus",3,Control 1,tissue
MID3,"Archaea ""Euryarchaeota"" Halobacteria Halobacteriales Halobacteriaceae Haloquadratum",2,Control 1,tissue
MID3,"Archaea ""Euryarchaeota"" Halobacteria Halobacteriales Halobacteriaceae Halosimplex",2,Control 1,tissue
MID3,"Archaea ""Euryarchaeota"" Halobacteria Halobacteriales Halobacteriaceae Halostagnicola",1,Control 1,tissue
MID3,"Archaea ""Euryarchaeota"" Halobacteria Halobacteriales Halobacteriaceae Natronobacterium",2,Control 1,tissue
MID3,"Archaea ""Euryarchaeota"" Halobacteria Halobacteriales Halobacteriaceae Natronomonas",27,Control 1,tissue
MID3,"Archaea ""Euryarchaeota"" Methanobacteria Methanobacteriales Methanobacteriaceae Methanosphaera",1,Control 1,tissue
MID3,"Archaea ""Euryarchaeota"" Methanopyri Methanopyrales Methanopyraceae Methanopyrus",46,Control 1,tissue
MID3,"Archaea ""Euryarchaeota"" Thermoplasmata Thermoplasmatales Thermoplasmatales_incertae_sedis Thermogymnomonas",11,Control 1,tissue
MID3,"Bacteria ""Actinobacteria"" Actinobacteria  Acidimicrobidae_incertae_sedis Ilumatobacter",1,Control 1,tissue
MID3,"Bacteria ""Actinobacteria"" Actinobacteria Acidimicrobiales Acidimicrobiaceae Ferrimicrobium",3,Control 1,tissue
MID3,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Actinomycetaceae Actinobaculum",42,Control 1,tissue
MID3,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Actinomycetaceae Actinomyces",100,Control 1,tissue
MID3,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Actinomycetaceae Varibaculum",28,Control 1,tissue
MID3,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Beutenbergiaceae Beutenbergia",1,Control 1,tissue
MID3,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Beutenbergiaceae Salana",3,Control 1,tissue
MID3,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Cellulomonadaceae Tropheryma",5,Control 1,tissue
MID3,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Corynebacteriaceae Corynebacterium",115,Control 1,tissue
MID3,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Corynebacteriaceae Turicella",20,Control 1,tissue
MID3,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Dermabacteraceae Devriesea",8,Control 1,tissue
MID3,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Dermabacteraceae Helcobacillus",1,Control 1,tissue
MID3,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Dermacoccaceae Demetria",1,Control 1,tissue
MID3,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Dermatophilaceae Kineosphaera",8,Control 1,tissue
MID3,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Geodermatophilaceae Geodermatophilus",3,Control 1,tissue
MID3,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Glycomycetaceae Haloglycomyces",1,Control 1,tissue
MID3,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Intrasporangiaceae Fodinibacter",1,Control 1,tissue
MID3,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Intrasporangiaceae Oryzihumus",6,Control 1,tissue
MID3,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Microbacteriaceae Cryobacterium",37,Control 1,tissue
MID3,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Microbacteriaceae Frondihabitans",1,Control 1,tissue
MID3,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Microbacteriaceae Glaciibacter",1,Control 1,tissue
MID3,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Microbacteriaceae Gulosibacter",3,Control 1,tissue
MID3,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Microbacteriaceae Klugiella",4,Control 1,tissue
MID3,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Microbacteriaceae Labedella",1,Control 1,tissue
MID3,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Microbacteriaceae Microterricola",9,Control 1,tissue
MID3,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Microbacteriaceae Phycicola",6,Control 1,tissue
MID3,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Micrococcaceae Acaricomes",2,Control 1,tissue
MID3,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Micrococcaceae Renibacterium",1,Control 1,tissue
MID3,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Micromonosporaceae Catelliglobosispora",75,Control 1,tissue
MID3,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Micromonosporaceae Hamadaea",1,Control 1,tissue
MID3,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Micromonosporaceae Krasilnikovia",3,Control 1,tissue
MID3,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Micromonosporaceae Longispora",2,Control 1,tissue
MID3,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Micromonosporaceae Verrucosispora",1,Control 1,tissue
MID3,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Nakamurellaceae Nakamurella",1,Control 1,tissue
MID3,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Nocardiaceae Millisia",2,Control 1,tissue
MID3,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Nocardiaceae Skermania",1,Control 1,tissue
MID3,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Nocardiaceae Smaragdicoccus",12,Control 1,tissue
MID3,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Promicromonosporaceae Myceligenerans",21,Control 1,tissue
MID3,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Promicromonosporaceae Xylanibacterium",2,Control 1,tissue
MID3,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Promicromonosporaceae Xylanimicrobium",1,Control 1,tissue
MID3,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Promicromonosporaceae Xylanimonas",9,Control 1,tissue
MID3,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Propionibacteriaceae Aestuariimicrobium",105,Control 1,tissue
MID3,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Propionibacteriaceae Brooklawnia",6,Control 1,tissue
MID3,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Propionibacteriaceae Granulicoccus",1,Control 1,tissue
MID3,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Propionibacteriaceae Propionibacterium",1563,Control 1,tissue
MID3,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Propionibacteriaceae Propionicicella",1,Control 1,tissue
MID3,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Propionibacteriaceae Propioniferax",3,Control 1,tissue
MID3,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Propionibacteriaceae Propionimicrobium",8,Control 1,tissue
MID3,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Pseudonocardiaceae Goodfellowiella",1,Control 1,tissue
MID3,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Pseudonocardiaceae Thermobispora",1,Control 1,tissue
MID3,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Streptosporangiaceae Thermopolyspora",5,Control 1,tissue
MID3,"Bacteria ""Actinobacteria"" Actinobacteria Bifidobacteriales Bifidobacteriaceae Alloscardovia",10,Control 1,tissue
MID3,"Bacteria ""Actinobacteria"" Actinobacteria Bifidobacteriales Bifidobacteriaceae Metascardovia",1,Control 1,tissue
MID3,"Bacteria ""Actinobacteria"" Actinobacteria Bifidobacteriales Bifidobacteriaceae Scardovia",3,Control 1,tissue
MID3,"Bacteria ""Actinobacteria"" Actinobacteria Coriobacteriales Coriobacteriaceae Adlercreutzia",2,Control 1,tissue
MID3,"Bacteria ""Actinobacteria"" Actinobacteria Coriobacteriales Coriobacteriaceae Asaccharobacter",3,Control 1,tissue
MID3,"Bacteria ""Actinobacteria"" Actinobacteria Coriobacteriales Coriobacteriaceae Coriobacterium",1,Control 1,tissue
MID3,"Bacteria ""Actinobacteria"" Actinobacteria Coriobacteriales Coriobacteriaceae Cryptobacterium",2,Control 1,tissue
MID3,"Bacteria ""Actinobacteria"" Actinobacteria Coriobacteriales Coriobacteriaceae Enterorhabdus",1,Control 1,tissue
MID3,"Bacteria ""Actinobacteria"" Actinobacteria Coriobacteriales Coriobacteriaceae Gordonibacter",4,Control 1,tissue
MID3,"Bacteria ""Actinobacteria"" Actinobacteria Coriobacteriales Coriobacteriaceae Paraeggerthella",1,Control 1,tissue
MID3,"Bacteria ""Aquificae"" Aquificae Aquificales Aquificaceae Aquifex",54,Control 1,tissue
MID3,"Bacteria ""Aquificae"" Aquificae Aquificales Desulfurobacteriaceae Balnearium",11,Control 1,tissue
MID3,"Bacteria ""Aquificae"" Aquificae Aquificales Hydrogenothermaceae Venenivibrio",15,Control 1,tissue
MID3,"Bacteria ""Bacteroidetes""   Bacteroidetes_incertae_sedis Marinifilum",1,Control 1,tissue
MID3,"Bacteria ""Bacteroidetes"" ""Bacteroidia"" ""Bacteroidales"" ""Marinilabiaceae"" Alkaliflexus",1,Control 1,tissue
MID3,"Bacteria ""Bacteroidetes"" ""Bacteroidia"" ""Bacteroidales"" ""Marinilabiaceae"" Anaerophaga",31,Control 1,tissue
MID3,"Bacteria ""Bacteroidetes"" ""Bacteroidia"" ""Bacteroidales"" ""Porphyromonadaceae"" Barnesiella",50,Control 1,tissue
MID3,"Bacteria ""Bacteroidetes"" ""Bacteroidia"" ""Bacteroidales"" ""Porphyromonadaceae"" Paludibacter",11,Control 1,tissue
MID3,"Bacteria ""Bacteroidetes"" ""Bacteroidia"" ""Bacteroidales"" ""Porphyromonadaceae"" Porphyromonas",50,Control 1,tissue
MID3,"Bacteria ""Bacteroidetes"" ""Bacteroidia"" ""Bacteroidales"" ""Porphyromonadaceae"" Proteiniphilum",2,Control 1,tissue
MID3,"Bacteria ""Bacteroidetes"" ""Bacteroidia"" ""Bacteroidales"" ""Porphyromonadaceae"" Tannerella",9,Control 1,tissue
MID3,"Bacteria ""Bacteroidetes"" ""Bacteroidia"" ""Bacteroidales"" ""Rikenellaceae"" Rikenella",11,Control 1,tissue
MID3,"Bacteria ""Bacteroidetes"" ""Bacteroidia"" ""Bacteroidales"" Bacteroidales_incertae_sedis Phocaeicola",2,Control 1,tissue
MID3,"Bacteria ""Bacteroidetes"" ""Sphingobacteria"" ""Sphingobacteriales"" ""Cyclobacteriaceae"" Aquiflexum",5,Control 1,tissue
MID3,"Bacteria ""Bacteroidetes"" ""Sphingobacteria"" ""Sphingobacteriales"" ""Cyclobacteriaceae"" Belliella",1,Control 1,tissue
MID3,"Bacteria ""Bacteroidetes"" ""Sphingobacteria"" ""Sphingobacteriales"" ""Flammeovirgaceae"" Flexithrix",1,Control 1,tissue
MID3,"Bacteria ""Bacteroidetes"" ""Sphingobacteria"" ""Sphingobacteriales"" ""Flammeovirgaceae"" Rapidithrix",1,Control 1,tissue
MID3,"Bacteria ""Bacteroidetes"" ""Sphingobacteria"" ""Sphingobacteriales"" ""Flammeovirgaceae"" Thermonema",116,Control 1,tissue
MID3,"Bacteria ""Bacteroidetes"" ""Sphingobacteria"" ""Sphingobacteriales"" ""Saprospiraceae"" Haliscomenobacter",1,Control 1,tissue
MID3,"Bacteria ""Bacteroidetes"" ""Sphingobacteria"" ""Sphingobacteriales"" Cytophagaceae Larkinella",1,Control 1,tissue
MID3,"Bacteria ""Bacteroidetes"" ""Sphingobacteria"" ""Sphingobacteriales"" Cytophagaceae Microscilla",2,Control 1,tissue
MID3,"Bacteria ""Bacteroidetes"" ""Sphingobacteria"" ""Sphingobacteriales"" Cytophagaceae Persicitalea",2,Control 1,tissue
MID3,"Bacteria ""Bacteroidetes"" Flavobacteria ""Flavobacteriales"" Cryomorphaceae Fluviicola",43,Control 1,tissue
MID3,"Bacteria ""Bacteroidetes"" Flavobacteria ""Flavobacteriales"" Flavobacteriaceae Chryseobacterium",89,Control 1,tissue
MID3,"Bacteria ""Bacteroidetes"" Flavobacteria ""Flavobacteriales"" Flavobacteriaceae Cloacibacterium",7,Control 1,tissue
MID3,"Bacteria ""Bacteroidetes"" Flavobacteria ""Flavobacteriales"" Flavobacteriaceae Coenonia",1,Control 1,tissue
MID3,"Bacteria ""Bacteroidetes"" Flavobacteria ""Flavobacteriales"" Flavobacteriaceae Costertonia",11,Control 1,tissue
MID3,"Bacteria ""Bacteroidetes"" Flavobacteria ""Flavobacteriales"" Flavobacteriaceae Epilithonimonas",1,Control 1,tissue
MID3,"Bacteria ""Bacteroidetes"" Flavobacteria ""Flavobacteriales"" Flavobacteriaceae Flavobacterium",50,Control 1,tissue
MID3,"Bacteria ""Bacteroidetes"" Flavobacteria ""Flavobacteriales"" Flavobacteriaceae Formosa",2,Control 1,tissue
MID3,"Bacteria ""Bacteroidetes"" Flavobacteria ""Flavobacteriales"" Flavobacteriaceae Galbibacter",1,Control 1,tissue
MID3,"Bacteria ""Bacteroidetes"" Flavobacteria ""Flavobacteriales"" Flavobacteriaceae Jejuia",3,Control 1,tissue
MID3,"Bacteria ""Bacteroidetes"" Flavobacteria ""Flavobacteriales"" Flavobacteriaceae Kaistella",1,Control 1,tissue
MID3,"Bacteria ""Bacteroidetes"" Flavobacteria ""Flavobacteriales"" Flavobacteriaceae Kriegella",2,Control 1,tissue
MID3,"Bacteria ""Bacteroidetes"" Flavobacteria ""Flavobacteriales"" Flavobacteriaceae Lutibacter",1,Control 1,tissue
MID3,"Bacteria ""Bacteroidetes"" Flavobacteria ""Flavobacteriales"" Flavobacteriaceae Nonlabens",1,Control 1,tissue
MID3,"Bacteria ""Bacteroidetes"" Flavobacteria ""Flavobacteriales"" Flavobacteriaceae Persicivirga",1,Control 1,tissue
MID3,"Bacteria ""Bacteroidetes"" Flavobacteria ""Flavobacteriales"" Flavobacteriaceae Planobacterium",6,Control 1,tissue
MID3,"Bacteria ""Bacteroidetes"" Flavobacteria ""Flavobacteriales"" Flavobacteriaceae Riemerella",26,Control 1,tissue
MID3,"Bacteria ""Bacteroidetes"" Flavobacteria ""Flavobacteriales"" Flavobacteriaceae Robiginitalea",1,Control 1,tissue
MID3,"Bacteria ""Bacteroidetes"" Flavobacteria ""Flavobacteriales"" Flavobacteriaceae Sandarakinotalea",1,Control 1,tissue
MID3,"Bacteria ""Bacteroidetes"" Flavobacteria ""Flavobacteriales"" Flavobacteriaceae Sediminicola",3,Control 1,tissue
MID3,"Bacteria ""Bacteroidetes"" Flavobacteria ""Flavobacteriales"" Flavobacteriaceae Wautersiella",2,Control 1,tissue
MID3,"Bacteria ""Bacteroidetes"" Flavobacteria ""Flavobacteriales"" Flavobacteriaceae Weeksella",1,Control 1,tissue
MID3,"Bacteria ""Bacteroidetes"" Flavobacteria ""Flavobacteriales"" Flavobacteriaceae Zunongwangia",1,Control 1,tissue
MID3,"Bacteria ""Caldiserica"" Caldisericia Caldisericales Caldisericaceae Caldisericum",1,Control 1,tissue
